2025-07-10 15:42:45 | logger | INFO | get_logger:150 | Logger initialized for module: logger
2025-07-10 15:42:45 | logger | INFO | <module>:293 | Logging system initialized successfully
2025-07-10 15:42:47 | __main__ | INFO | get_logger:150 | Logger initialized for module: __main__
2025-07-10 15:42:47 | __main__ | INFO | __init__:28 | Initializing Excel Dashboard Application
2025-07-10 15:42:47 | DashboardLayout | INFO | get_logger:150 | Logger initialized for module: DashboardLayout
2025-07-10 15:42:47 | DashboardLayout | INFO | __init__:30 | DashboardLayout initialized
2025-07-10 15:42:47 | __main__ | INFO | run:206 | Starting Excel Dashboard Application
2025-07-10 15:42:53 | __main__ | INFO | get_logger:150 | Logger initialized for module: __main__
2025-07-10 15:42:53 | __main__ | INFO | __init__:28 | Initializing Excel Dashboard Application
2025-07-10 15:42:53 | DashboardLayout | INFO | get_logger:150 | Logger initialized for module: DashboardLayout
2025-07-10 15:42:53 | DashboardLayout | INFO | __init__:30 | DashboardLayout initialized
2025-07-10 15:42:53 | __main__ | INFO | run:206 | Starting Excel Dashboard Application
2025-07-10 15:42:56 | __main__ | INFO | get_logger:150 | Logger initialized for module: __main__
2025-07-10 15:42:56 | __main__ | INFO | __init__:28 | Initializing Excel Dashboard Application
2025-07-10 15:42:56 | DashboardLayout | INFO | get_logger:150 | Logger initialized for module: DashboardLayout
2025-07-10 15:42:56 | DashboardLayout | INFO | __init__:30 | DashboardLayout initialized
2025-07-10 15:42:56 | __main__ | INFO | run:206 | Starting Excel Dashboard Application
2025-07-10 15:43:06 | __main__ | INFO | get_logger:150 | Logger initialized for module: __main__
2025-07-10 15:43:06 | __main__ | INFO | __init__:28 | Initializing Excel Dashboard Application
2025-07-10 15:43:06 | DashboardLayout | INFO | get_logger:150 | Logger initialized for module: DashboardLayout
2025-07-10 15:43:06 | DashboardLayout | INFO | __init__:30 | DashboardLayout initialized
2025-07-10 15:43:06 | __main__ | INFO | run:206 | Starting Excel Dashboard Application
2025-07-10 15:43:06 | __main__ | INFO | _load_data:88 | Starting data loading process
2025-07-10 15:43:06 | ExcelDataLoader | INFO | get_logger:150 | Logger initialized for module: ExcelDataLoader
2025-07-10 15:43:06 | ExcelDataLoader | INFO | __init__:24 | ExcelDataLoader initialized
2025-07-10 15:43:06 | data.loader | INFO | get_logger:150 | Logger initialized for module: data.loader
2025-07-10 15:43:06 | ExcelDataLoader | INFO | load_from_file:51 | Loading Excel file: assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx
2025-07-10 15:43:10 | ExcelDataLoader | INFO | load_from_file:56 | Successfully loaded Excel file with shape: (3948, 11)
