2025-07-10 15:43:10 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:175 | _check_required_columns | Missing columns detected: ['Meeting Subject', 'Organizer', 'Attendees', 'Email Subject', 'Mail Sender', 'Mail Receiver', 'Email Body Content', 'Direction', 'Email Time (BST/GMT)', 'Meeting Time (BST/GMT)', 'Time Delta (hrs)']
2025-07-10 15:43:10 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:206 | _check_data_quality | Found 329 duplicate records
2025-07-10 15:43:10 | ExcelDataLoader | ERROR | C:\projects Krithi\excel-dashboard\data\loader.py:151 | _validate_data | Data validation failed for assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx: Missing required columns: ['Meeting Subject', 'Organizer', 'Attendees', 'Email Subject', 'Mail Sender', 'Mail Receiver', 'Email Body Content', 'Direction', 'Email Time (BST/GMT)', 'Meeting Time (BST/GMT)', 'Time Delta (hrs)']
2025-07-10 15:43:10 | ExcelDataLoader | ERROR | C:\projects Krithi\excel-dashboard\data\loader.py:66 | load_from_file | Error loading Excel file assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx: Data validation failed for assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx: Missing required columns: ['Meeting Subject', 'Organizer', 'Attendees', 'Email Subject', 'Mail Sender', 'Mail Receiver', 'Email Body Content', 'Direction', 'Email Time (BST/GMT)', 'Meeting Time (BST/GMT)', 'Time Delta (hrs)']
2025-07-10 15:43:10 | data.loader | ERROR | C:\projects Krithi\excel-dashboard\logger.py:282 | wrapper | Function load_from_file failed after 3.914 seconds with error: Error loading Excel file assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx: Data validation failed for assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx: Missing required columns: ['Meeting Subject', 'Organizer', 'Attendees', 'Email Subject', 'Mail Sender', 'Mail Receiver', 'Email Body Content', 'Direction', 'Email Time (BST/GMT)', 'Meeting Time (BST/GMT)', 'Time Delta (hrs)']
2025-07-10 15:43:10 | __main__ | ERROR | C:\projects Krithi\excel-dashboard\app.py:121 | _load_data | Error loading data: Error loading Excel file assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx: Data validation failed for assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx: Missing required columns: ['Meeting Subject', 'Organizer', 'Attendees', 'Email Subject', 'Mail Sender', 'Mail Receiver', 'Email Body Content', 'Direction', 'Email Time (BST/GMT)', 'Meeting Time (BST/GMT)', 'Time Delta (hrs)']
2025-07-10 15:46:20 | ExcelDataLoader | ERROR | C:\projects Krithi\excel-dashboard\data\loader.py:363 | _find_header_row | Error finding header row: 'ExcelDataLoader' object has no attribute '_is_similar_column'
2025-07-10 15:46:21 | ExcelDataLoader | ERROR | C:\projects Krithi\excel-dashboard\data\loader.py:73 | load_from_file | Error loading Excel file assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx: 'ExcelDataLoader' object has no attribute '_is_similar_column'
2025-07-10 15:46:21 | data.loader | ERROR | C:\projects Krithi\excel-dashboard\logger.py:282 | wrapper | Function load_from_file failed after 1.836 seconds with error: Error loading Excel file assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx: 'ExcelDataLoader' object has no attribute '_is_similar_column'
2025-07-10 15:46:21 | __main__ | ERROR | C:\projects Krithi\excel-dashboard\app.py:121 | _load_data | Error loading data: Error loading Excel file assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx: 'ExcelDataLoader' object has no attribute '_is_similar_column'
2025-07-10 16:24:41 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:377 | _check_data_quality | Found 329 duplicate records
